pageId	url	title	lastModified	fetchedAt	size	statusCode	fetched	htmlSnapshot	textSnapshot	lastError
28	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/16.html	Screamers (1996)	2023-05-16T05:03:22Z	2026-04-23T11:05:24.6181136Z	3737	200	true	pages\html\page-0028.html	pages\text\page-0028.txt	
29	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/17.html	7 Seconds (2005)	2023-05-16T05:03:22Z	2026-04-23T11:05:24.6494263Z	3521	200	true	pages\html\page-0029.html	pages\text\page-0029.txt	
30	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/18.html	Immortal Beloved (1994)	2023-05-16T05:03:24Z	2026-04-23T11:05:24.6670164Z	7583	200	true	pages\html\page-0030.html	pages\text\page-0030.txt	
31	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/19.html	By Dawn's Early Light (2000)	2023-05-16T05:03:24Z	2026-04-23T11:05:24.7007848Z	2827	200	true	pages\html\page-0031.html	pages\text\page-0031.txt	
32	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/20.html	Seeta Aur Geeta (1972)	2023-05-16T05:03:26Z	2026-04-23T11:05:24.7364345Z	5856	200	true	pages\html\page-0032.html	pages\text\page-0032.txt	
33	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/21.html	Strange Relations (2002)	2023-05-16T05:03:26Z	2026-04-23T11:05:24.7703526Z	6405	200	true	pages\html\page-0033.html	pages\text\page-0033.txt	
34	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/22.html	Chump Change (2000)	2023-05-16T05:03:28Z	2026-04-23T11:05:24.8032578Z	6333	200	true	pages\html\page-0034.html	pages\text\page-0034.txt	
35	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/23.html	Clifford: Clifford Saves the Day! / Clifford's Fluffiest Friend Cleo (2001)	2023-05-16T05:03:28Z	2026-04-23T11:05:24.8342832Z	3844	200	true	pages\html\page-0035.html	pages\text\page-0035.txt	
36	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/24.html	My Bloody Valentine (1981)	2023-05-16T05:03:30Z	2026-04-23T11:05:24.8674872Z	6894	200	true	pages\html\page-0036.html	pages\text\page-0036.txt	
37	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/25.html	Inspector Morse 31: Death Is Now My Neighbour (1997)	2023-05-16T05:03:30Z	2026-04-23T11:05:24.9034519Z	2660	200	true	pages\html\page-0037.html	pages\text\page-0037.txt	
38	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/26.html	Never Die Alone (2004)	2023-05-16T05:03:32Z	2026-04-23T11:05:24.9340811Z	7213	200	true	pages\html\page-0038.html	pages\text\page-0038.txt	
39	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/27.html	Sesame Street: Elmo's World: The Street We Live On (1962)	2023-05-16T05:03:32Z	2026-04-23T11:05:24.9675181Z	3821	200	true	pages\html\page-0039.html	pages\text\page-0039.txt	
40	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/28.html	Lilo and Stitch (2002)	2023-05-16T05:03:34Z	2026-04-23T11:05:25.0008312Z	3863	200	true	pages\html\page-0040.html	pages\text\page-0040.txt	
41	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/29.html	Boycott (2001)	2023-05-16T05:03:36Z	2026-04-23T11:05:25.0176417Z	3302	200	true	pages\html\page-0041.html	pages\text\page-0041.txt	
42	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/30.html	Something's Gotta Give (2003)	2023-05-16T05:03:36Z	2026-04-23T11:05:25.0525334Z	9304	200	true	pages\html\page-0042.html	pages\text\page-0042.txt	
